TIMESTAMP_START,TIMESTAMP_END,FC_1_1_1,FC_SSITC_TEST,CO2_1_1_1,CO2_MIXING_RATIO_1_1_1,SC_1_1_1,H2O_1_1_1,FH2O_1_1_1,LE_1_1_1,LE_SSITC_TEST,SLE_1_1_1,H_1_1_1,H_SSITC_TEST,SH_1_1_1,TAU_1_1_1,TAU_SSITC_TEST,T_SONIC_1_1_1,TA_1_1_1,RH_1_1_1,P_1_1_1,VPD_1_1_1,PA_1_1_1,WS_1_1_1,WS_MAX_1_1_1,WD_1_1_1,USTAR_1_1_1,MO_LENGTH_1_1_1,ZL_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NETRAD,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,ALB,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,FETCH_70,FETCH_90,FETCH_MAX,FETCH_FILTER,NEE_1_1_1
202401010000,202401010030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
202401010030,202401010100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
202401010100,202401010130,0.741495,0,430.507,432.644,0.0325447,5.4584,0.316182,14.251,0,0.135476,-3.59199,0,-0.168259,-0.204885,0,-0.404999999999973,-0.463999999999999,92.0581,0,0.467923,99.3416,5.39474,9.0399,316.006,0.402199,1570.9,0.00261779,1.01606102178954,0.676672003263028,0.449670990836634,-7.3192,0,0,0,308.226,314.743,-31.0803,45.2225,41.8593,43.1399,2.72900000000004,2.166,-0.0449999999999591,-41.6435,-53.5022,-29.1844,115.613,173.209,63.2345,0,0.741495
202401010130,202401010200,0.946579,0,430.447,432.58,-0.00627756,5.45653,0.383895,17.303,0,-0.00883425,-2.68597,1,-0.0080417,-0.236958,0,-0.435999999999979,-0.466999999999985,92.0663,0,0.467351,99.3654,5.64039,9.631,315.93,0.432481,2612.39,0.00157416,1.12074528774383,0.73279737990798,0.490582307059682,-6.86604,0,0,0,308.462,314.698,-37.6495,45.2145,41.8542,43.133,2.71700000000004,2.15100000000001,-0.05499999999995,-41.4055,-53.0106,-29.0005,114.281,171.214,62.506,0,0.946579
202401010200,202401010230,0.753829,0,430.329,432.451,-0.0124045,5.42837,0.357041,16.0935,0,-0.133598,-2.5746,0,-0.170781,-0.231109,0,-0.491999999999962,-0.521999999999991,91.9887,0,0.470006,99.3921,5.80882,9.97286,317.019,0.427007,2623.69,0.00156738,1.06197457596686,0.778922332456838,0.510519343414135,-6.6453,0,0,0,308.317,314.555,-69.9191,45.2031,41.8518,43.1283,2.71000000000004,2.14000000000004,-0.0799999999999841,-41.2347,-52.7832,-28.8491,109.574,164.162,59.9315,0,0.753829
202401010230,202401010300,0.743057,0,430.365,432.46,0.00371569,5.37346,0.375636,16.9318,0,-0.260569,-3.75512,0,-0.0297248,-0.223996,0,-0.504999999999995,-0.531999999999982,91.1539,0,0.518621,99.4262,5.89863,9.95678,317.641,0.420301,1715.84,0.00239667,1.10215243954727,0.773296191636814,0.490901212057986,-6.60073,0,0,0,308.152,314.445,-116.93,45.1885,41.8561,43.123,2.697,2.13100000000003,-0.113999999999976,-41.2824,-52.7971,-28.8432,111.641,167.258,61.0618,0,0.743057
202401010300,202401010330,0.891197,0,430.623,432.717,0.0272142,5.36547,0.412049,18.5731,0,-0.037929,-3.92093,0,0.00762858,-0.242274,0,-0.5,-0.528999999999996,91.0298,0,0.525992,99.4567,5.80974,10.03,317.591,0.437047,1848.02,0.00222524,1.1246110438725,0.790584593829149,0.501328235789687,-6.51666,0,0,0,308.232,314.442,-113.359,45.169,41.8539,43.1153,2.68100000000004,2.11500000000001,-0.128999999999962,-41.2799,-52.7902,-28.9281,113.264,169.691,61.9501,0,0.891197
202401010330,202401010400,0.89273,0,430.704,432.802,0.00851253,5.36844,0.395232,17.8151,0,0.0140943,-3.83898,0,0.00422337,-0.239454,0,-0.495999999999981,-0.527999999999963,91.0853,0,0.522786,99.4724,6.03068,9.40793,320.719,0.434463,1854.4,0.00221759,1.04227155770461,0.846553010744159,0.503157033141742,-6.40977,0,0,0,308.342,314.453,-106.744,45.1551,41.8449,43.1124,2.66500000000002,2.10200000000003,-0.134999999999991,-41.411,-52.6692,-28.9872,112.4,168.396,61.4775,0,0.89273
202401010400,202401010430,0.815675,0,430.783,432.879,0.00829789,5.36852,0.360542,16.2512,0,0.000367131,-3.27115,0,0.0366602,-0.218539,0,-0.495000000000005,-0.515999999999963,91.0172,0,0.527239,99.4832,6.06966,10.457,325.492,0.415042,1897.45,0.00216727,1.10977024649249,0.804442664209203,0.494174058404526,-6.26971,0,0,0,308.483,314.459,-96.4292,45.1487,41.8275,43.106,2.65200000000004,2.09100000000001,-0.135999999999967,-41.4446,-52.4155,-29.0898,109.936,164.703,60.1293,0,0.815675
202401010430,202401010500,0.921782,0,430.858,432.954,0.00799543,5.36871,0.41942,18.9045,0,0.000928719,-3.98355,0,0.104875,-0.235415,0,-0.474999999999966,-0.481999999999971,90.8043,0,0.541081,99.4946,5.98577,10.1376,326.042,0.430771,1742.22,0.00236038,1.13250607062391,0.800179979754555,0.49248756329475,-5.83604,0,0,0,308.965,314.522,-111.423,45.1358,41.8041,43.1022,2.63100000000003,2.07600000000002,-0.137,-41.3205,-52.0512,-29.2774,113.566,170.143,62.1152,0,0.921782
