"column","family","min","max","n_non_na_before","n_replaced","pct_replaced"
"ALB","ALB",0,100,17568,8252,46.971766848816
"FC_1_1_1","FC",-100,100,17568,3075,17.5034153005464
"NEE_1_1_1","NEE",-100,100,17568,3075,17.5034153005464
"LE_1_1_1","LE",-450,900,17568,2631,14.9760928961749
"G_1_1_1","G",-250,400,17568,2455,13.9742714025501
"G_2_1_1","G",-250,400,17568,2254,12.83014571949
"G_3_1_1","G",-250,400,17568,2245,12.7789162112933
"TS_3_1_1","TS",-40,65,17568,2212,12.5910746812386
"H_1_1_1","H",-450,900,17568,2205,12.5512295081967
"SWC_1_1_1","SWC",0,100,17568,2055,11.6974043715847
"SWC_2_1_1","SWC",0,100,17568,2055,11.6974043715847
"SWC_3_1_1","SWC",0,100,17568,2055,11.6974043715847
"TS_1_1_1","TS",-40,65,17568,2055,11.6974043715847
"TS_2_1_1","TS",-40,65,17568,2055,11.6974043715847
"TAU_1_1_1","TAU",-10,2,17568,1565,8.90824225865209
"SC_1_1_1","SC",-100,100,17568,1250,7.11520947176685
"SLE_1_1_1","SLE",-150,150,17568,1123,6.39230418943534
"CO2_1_1_1","CO2",150,1200,17568,1066,6.06785063752277
"CO2_MIXING_RATIO_1_1_1","CO2",150,1200,17568,1066,6.06785063752277
"FH2O_1_1_1","FH2O",-10,20,17568,1029,5.85724043715847
"SH_1_1_1","SH",-150,150,17568,897,5.10587431693989
"RH_1_1_1","RH",0,100,17568,883,5.0261839708561
"VPD_1_1_1","VPD",0,80,17568,883,5.0261839708561
"H2O_1_1_1","H2O",0,100,17568,779,4.4341985428051
"PA_1_1_1","PA",60,105,17568,774,4.40573770491803
"T_SONIC_1_1_1","T_SONIC",-50,50,17568,774,4.40573770491803
"TA_1_1_1","TA",-50,50,17568,774,4.40573770491803
"U_SIGMA_1_1_1","U_SIGMA",0,12,17568,774,4.40573770491803
"USTAR_1_1_1","USTAR",0,8,17568,774,4.40573770491803
"V_SIGMA_1_1_1","V_SIGMA",0,10,17568,774,4.40573770491803
"W_SIGMA_1_1_1","W_SIGMA",0,5,17568,774,4.40573770491803
"WD_1_1_1","WD",0,360,17568,774,4.40573770491803
"WS_1_1_1","WS",0,40,17568,774,4.40573770491803
"WS_MAX_1_1_1","WS",0,40,17568,774,4.40573770491803
"WS_MAX_1_1_1","WS_MAX",0,50,17568,774,4.40573770491803
"LW_OUT_1_1_1","LW_OUT",100,750,17568,655,3.72836976320583
"LW_IN_1_1_1","LW_IN",50,600,17568,653,3.716985428051
"PPFD_IN_1_1_1","PPFD_IN",0,2400,17568,408,2.3224043715847
"SW_IN_1_1_1","SW_IN",0,1300,17568,408,2.3224043715847
"SW_OUT_1_1_1","SW_OUT",0,800,17568,408,2.3224043715847
"NETRAD","NETRAD",-200,1100,17568,401,2.28255919854281
"P_1_1_1","P",0,50,17568,307,1.74749544626594
